predictor,coefficient,std_err,t_value,p_value,ci_lower,ci_upper
const,88.88926790739256,23.397027052439842,3.7991693435308993,0.00017131436425832567,42.87189629388282,134.9066395209023
heatwave_days,-0.041365563503172866,0.08674091351210164,-0.4768864175888781,0.6337423243951072,-0.21196795850982594,0.12923683150348023
drought_index,-0.9511942550499479,1.0232631977942486,-0.9295694960009773,0.3532383726120718,-2.963752633761398,1.0613641236615021
flood_events_count,1.0133060167724808,0.35293958782892293,2.871046637204243,0.004341581462313395,0.319142944949693,1.7074690885952686
deforestation_rate,2.785392762876011,1.5089084022935653,1.84596544007719,0.06574636201479502,-0.1823346549477618,5.753120180699784
fossil_fuel_consumption,-0.09688605477775224,0.0748162222705359,-1.294987261284213,0.19618310405423614,-0.24403491669194893,0.050262807136444446
co2_concentration_ppm,-0.07207120230408703,0.05375133570084832,-1.3408262578849661,0.1808514136942324,-0.1777895563549926,0.033647151746818524
renewable_energy_share,-0.18162624700969457,0.09359971123388575,-1.9404573434617682,0.053131521763623034,-0.3657185543405854,0.0024660603211963117
forest_cover_percent,0.031642700326080866,0.08420285676710408,0.3757912918988144,0.7073010307346967,-0.13396783395617523,0.197253234608337
air_quality_index,-0.01728921330582891,0.031162451328439048,-0.554809155531698,0.579381610557304,-0.07857965417913426,0.04400122756747645
year_trend,-0.16265701622986883,0.074154282291999,-2.193494579171714,0.02893279091633084,-0.3085039717988748,-0.016810060660862908
country_Brazil,-6.429457180025061,4.578157818754393,-1.4043764838527042,0.1610986370492105,-15.433797311731963,2.5748829516818414
country_Canada,3.6606000398715697,4.388883473302517,0.8340617977531006,0.40481830490144743,-4.971474509885914,12.292674589629053
country_China,0.40490919514071777,4.374669094772678,0.09255767381915733,0.9263082306231385,-8.199208454896272,9.009026845177708
country_France,-5.377709498463601,4.485356131778482,-1.19894816386214,0.23136386055693262,-14.199526880320292,3.4441078833930883
country_Germany,-9.547652970693239,4.489466756343484,-2.126678621064002,0.03414997666847506,-18.37755514630374,-0.717750795082738
country_India,3.074290735531183,4.471472232965323,0.6875343455934695,0.4922040281644833,-5.7202197355074125,11.868801206569778
country_Pakistan,-2.692880535127823,4.373494519330119,-0.615727428770229,0.5384769162395349,-11.294688025224103,5.9089269549684555
country_UK,0.20598918719942283,4.492388561295787,0.045852931995714816,0.9634537701782906,-8.62965960673019,9.041637981129035
country_USA,-1.392925066321001,4.68587048101501,-0.29726068442661663,0.7664448554877079,-10.60911491703784,7.823264784395836
