predictor,coefficient
intercept,67.2151371807001
Hours_Studied,1.751970170630639
Attendance,2.2850912579886407
Sleep_Hours,-0.018142427954039864
Previous_Scores,0.7043773196648466
Tutoring_Sessions,0.6262396935139654
Physical_Activity,0.19757014549413654
Parental_Involvement_Low,-0.8019705544727311
Parental_Involvement_Medium,-0.533768965768104
Access_to_Resources_Low,-0.8322861664365782
Access_to_Resources_Medium,-0.5136614312116912
Extracurricular_Activities_Yes,0.2866541129404325
Motivation_Level_Low,-0.4745917254064995
Motivation_Level_Medium,-0.2727832906062506
Internet_Access_Yes,0.2557602782519304
Family_Income_Low,-0.5406843386687168
Family_Income_Medium,-0.30959336842598795
Teacher_Quality_Low,-0.29429174850117956
Teacher_Quality_Medium,-0.2589039021839996
School_Type_Public,0.004023326403394201
Peer_Influence_Neutral,0.27034254960940096
Peer_Influence_Positive,0.5113695177745328
Learning_Disabilities_Yes,-0.2689994479546809
Parental_Education_Level_High School,-0.22404097566484538
Parental_Education_Level_Postgraduate,0.2088298602309102
Distance_from_Home_Moderate,0.1300185060955923
Distance_from_Home_Near,0.4085722611084801
Gender_Male,-0.012852675459408047
